"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
33,19,1,5,18,2,3,1,1,1200,11
33,21,1,5,19,2,1,1,1,1300,13
33,47,1,1,19,2,1,1,1,59000,16
33,43,1,1,16,1,1,1,1,46200,15
33,17,1,5,14,2,6,1,1,0,19
33,15,1,5,13,1,NA,1,1,0,17
33,62,1,1,18,2,1,1,1,27400,22
33,60,1,1,15,1,6,1,1,13000,22
33,37,1,3,21,2,1,1,1,94700,48
33,2,1,5,NA,1,NA,1,1,NA,55
33,63,1,1,16,1,1,1,1,42000,18
33,62,1,1,19,2,1,1,1,47000,13
33,67,1,2,13,2,6,1,1,12500,19
33,50,1,3,16,1,6,1,1,0,16
33,22,1,5,16,1,3,1,1,2200,27
33,84,1,2,16,2,6,1,1,20800,14
33,48,1,1,20,2,6,1,1,360,19
33,47,1,1,21,1,1,1,1,65000,21
33,13,1,5,11,1,NA,1,1,NA,19
33,9,1,5,7,2,NA,1,1,NA,18
33,7,1,5,3,2,NA,1,1,NA,17
33,33,5,1,21,1,1,6,1,140000,16
33,30,5,1,22,2,6,6,1,0,10
33,2,1,5,NA,1,NA,6,1,NA,15
33,0,1,5,NA,1,NA,6,1,NA,14
33,52,1,1,21,1,1,1,1,70000,27
33,53,1,1,21,2,1,1,1,90000,26
33,18,1,5,16,1,6,1,1,3000,32
33,15,1,5,12,1,NA,1,1,1000,29
33,45,1,3,18,2,1,1,1,23800,24
33,13,1,5,11,2,NA,1,1,NA,30
33,11,1,5,8,1,NA,1,1,NA,35
33,51,1,3,19,2,1,1,1,16000,35
33,58,1,3,16,1,1,1,1,30000,4
33,56,1,3,17,2,1,1,1,22000,5
33,68,1,1,19,1,6,1,1,31200,10
33,65,1,1,16,2,6,1,1,7000,9
33,50,1,3,19,1,1,1,1,78100,4
33,74,1,2,12,2,6,1,1,12000,44
33,56,1,3,12,2,6,1,1,6800,63
33,56,1,1,12,1,1,1,1,41500,6
33,55,1,1,19,2,1,1,1,52000,6
33,14,1,5,11,2,NA,1,1,NA,4
33,28,1,5,14,1,6,1,1,1500,10
33,56,1,1,21,2,1,1,1,27800,15
33,64,1,1,21,1,1,1,1,96700,13
33,22,1,5,21,2,1,1,1,6000,8
33,61,1,1,19,1,6,1,1,25800,6
33,62,1,1,19,2,1,1,1,51000,6
33,30,1,1,20,1,1,1,1,43000,18
33,28,1,1,21,2,1,1,1,70000,28
33,77,1,2,22,2,6,1,1,33400,18
33,50,1,1,19,2,6,1,1,0,18
33,50,1,1,19,1,1,1,1,354000,20
33,23,1,5,21,2,1,1,1,5800,15
33,74,1,2,16,1,6,1,1,9200,11
33,61,4,3,16,2,6,1,1,670,13
33,70,1,2,17,2,1,1,1,19900,19
33,70,1,2,16,1,1,1,1,28100,22
33,63,4,2,22,2,1,1,1,40060,16
33,14,1,5,10,1,NA,1,1,NA,16
33,53,1,1,17,2,6,1,1,14800,25
33,56,1,1,21,1,1,1,1,40000,24
33,27,1,1,16,2,1,1,1,3400,8
33,33,1,1,18,1,1,1,1,27000,5
33,0,1,5,NA,1,NA,1,1,NA,4
33,58,1,1,16,2,1,1,1,28000,9
33,65,1,1,19,1,1,1,1,49200,8
33,29,1,5,18,2,1,1,1,13400,20
33,9,1,5,6,1,NA,2,1,NA,6
33,54,1,3,15,1,1,1,1,48000,23
33,66,1,3,16,1,1,1,1,37100,22
33,69,1,1,24,2,6,1,1,12000,7
33,73,1,1,24,1,6,1,1,168500,5
33,79,1,2,21,2,6,1,1,27100,15
33,18,1,5,16,2,6,1,1,7000,19
33,77,1,1,22,1,1,1,1,47000,17
33,71,1,1,20,2,6,1,1,19200,14
33,23,1,5,20,1,1,1,1,60000,23
33,49,1,1,16,1,1,1,1,48100,21
33,46,1,1,18,2,1,1,1,51000,26
33,16,1,5,14,1,6,1,1,1400,22
33,16,1,5,14,1,6,1,1,3300,22
33,68,1,1,16,1,1,1,1,32600,31
33,65,1,1,16,2,6,1,1,8300,26
33,34,1,1,21,1,2,1,1,84000,18
33,32,2,1,24,2,1,1,3,77200,26
33,32,1,1,20,1,1,1,1,70000,18
33,38,1,1,20,2,1,1,1,58000,19
33,55,1,1,15,1,1,1,1,16000,25
33,58,1,1,16,2,1,1,1,12000,25
33,32,1,5,21,2,1,1,1,16000,9
33,35,1,5,16,1,1,1,1,30000,7
33,77,1,1,5,2,6,1,1,0,14
33,38,1,1,16,1,1,1,1,17000,11
33,41,1,1,16,2,1,1,1,61500,8
33,14,1,5,12,2,NA,1,1,NA,7
33,10,1,5,8,2,NA,1,1,NA,8
33,5,1,5,2,2,NA,1,1,NA,7
33,51,1,1,18,2,1,1,1,16300,24
33,52,1,1,16,1,1,1,1,30640,22
33,40,1,1,17,1,1,1,1,43000,5
33,47,1,1,20,2,1,1,1,26000,5
33,12,1,5,8,1,NA,1,1,NA,5
33,8,1,5,4,1,NA,1,1,NA,6
33,45,1,5,17,2,6,1,1,0,38
33,6,1,5,3,2,NA,1,1,NA,41
33,51,1,5,11,1,1,1,1,45000,36
33,61,1,5,22,2,6,1,1,86300,22
33,79,1,2,16,2,6,1,1,19300,21
33,79,1,1,16,2,6,1,1,19800,16
33,82,1,1,20,1,6,1,1,48200,19
33,52,1,1,21,1,1,1,1,97346,10
33,54,1,1,21,2,1,1,1,-536,10
33,20,1,5,19,1,1,1,1,13200,10
33,49,1,3,19,2,1,1,1,42200,23
33,22,1,5,20,1,1,1,1,17000,34
33,17,1,5,14,1,6,1,1,750,31
33,56,1,3,19,1,1,1,1,105000,24
33,50,1,1,16,1,1,1,1,54500,21
33,43,1,1,20,2,1,1,1,39200,23
33,43,1,3,21,1,1,1,1,140000,18
33,9,1,5,6,2,NA,1,1,NA,20
33,6,1,5,3,2,NA,1,1,NA,19
33,56,1,1,19,1,1,1,1,75000,26
33,48,1,1,20,2,1,1,1,50000,26
33,19,1,5,16,1,3,1,1,3000,30
33,42,1,1,20,1,1,1,1,64000,21
33,39,1,1,22,2,1,1,1,45000,19
33,5,1,5,2,1,NA,1,1,NA,16
33,2,1,5,NA,2,NA,1,1,NA,21
33,65,1,5,22,2,1,1,1,50000,14
33,48,1,3,20,1,1,1,1,50000,22
33,39,1,1,20,1,1,1,1,117000,7
33,39,1,1,22,2,1,1,1,20800,7
33,2,1,5,NA,1,NA,1,1,NA,9
33,69,1,1,16,1,6,1,1,21100,22
33,61,1,1,16,2,1,1,1,34900,22
33,53,1,1,21,1,1,1,1,210000,20
33,54,1,1,21,2,3,1,1,25000,13
33,15,1,5,12,1,NA,1,1,1000,13
33,18,1,5,16,2,6,1,1,3600,18
33,29,5,3,21,2,1,1,1,34000,54
33,32,1,5,16,1,1,1,1,45000,64
33,77,1,1,21,1,6,1,1,163000,32
33,64,1,1,22,2,6,1,1,28000,27
33,47,1,1,20,2,6,1,1,18200,16
33,47,1,1,16,1,1,1,1,24900,18
33,65,1,1,21,1,6,1,1,454000,9
33,63,1,1,22,2,6,1,1,13200,9
33,49,1,1,19,1,1,1,1,60200,41
33,47,1,1,16,2,1,1,1,15000,39
33,57,1,1,21,1,1,1,1,70000,4
33,55,1,1,20,2,1,1,1,21000,5
33,81,1,1,21,1,6,1,1,6400,12
33,53,1,1,18,1,1,1,1,30100,6
33,50,1,1,21,2,1,1,1,35000,6
33,20,1,5,19,1,1,1,1,8304,8
33,18,1,5,14,2,6,1,1,4,6
33,39,1,1,21,2,1,1,1,40000,68
33,38,1,1,21,1,1,1,1,80000,64
33,49,1,1,19,1,1,1,1,45000,34
33,23,1,5,16,1,1,1,1,28100,39
33,10,1,5,8,1,NA,1,1,NA,33
33,30,1,5,23,2,1,1,1,42150,18
33,63,1,5,16,1,6,1,1,18100,16
33,84,1,1,11,1,6,1,1,52100,17
33,34,1,4,20,2,1,1,1,27400,45
33,48,1,5,16,1,1,1,1,5710,21
33,48,3,5,21,1,1,1,1,4000,21
33,59,1,1,11,2,6,1,1,1800,16
33,71,1,1,11,1,6,1,1,8700,18
33,31,1,5,16,1,2,1,1,21600,18
33,50,1,1,21,2,1,1,1,50000,20
33,51,1,1,21,1,1,1,1,142000,22
33,17,1,5,14,1,1,1,1,5000,23
33,22,1,5,16,2,1,1,1,12000,19
33,22,1,5,16,2,1,1,1,11100,18
33,21,1,5,16,2,6,1,1,250,17
33,64,1,3,21,2,6,1,1,24100,25
33,31,1,5,22,1,1,1,1,68000,25
33,44,1,1,20,2,1,1,1,19700,9
33,49,1,1,19,1,1,1,1,21000,10
33,19,1,5,19,2,1,1,1,900,13
33,16,1,5,12,1,6,1,1,250,8
33,34,1,1,22,2,1,1,1,48000,18
33,34,1,1,18,1,1,1,1,40000,18
33,4,1,5,2,1,NA,1,1,NA,23
33,0,1,5,NA,2,NA,1,1,NA,23
33,59,1,3,22,1,1,1,1,15150,19
33,63,1,2,16,2,6,1,1,24800,18
33,42,1,5,16,1,1,1,1,20000,23
33,18,1,5,18,1,6,1,1,5180,17
33,36,1,1,19,1,1,1,1,99000,25
33,35,1,1,18,2,6,1,1,12500,22
33,10,1,5,8,1,NA,1,1,NA,29
33,1,1,5,NA,2,NA,1,1,NA,20
33,30,1,1,21,1,1,1,1,17000,10
33,33,5,1,21,2,6,1,1,0,10
33,2,1,5,NA,2,NA,1,1,NA,13
33,0,1,5,NA,1,NA,1,1,NA,13
33,65,1,1,19,1,1,1,1,43000,4
33,61,1,1,16,2,1,1,1,28000,5
33,51,1,5,20,2,6,1,1,22500,17
33,71,1,5,23,1,6,1,1,70500,23
33,68,1,2,16,2,6,1,1,31660,22
33,55,1,1,21,2,1,1,1,39500,24
33,55,1,1,13,1,6,1,1,0,23
33,61,1,3,20,2,1,1,1,65450,59
33,93,1,2,16,2,6,1,1,0,12
33,63,1,3,21,1,6,1,1,23900,5
33,66,1,5,22,2,6,1,1,70400,14
33,73,1,1,21,2,1,1,1,16000,4
33,76,1,1,21,1,1,1,1,8000,3
33,46,1,3,21,2,1,1,1,30020,10
33,46,1,5,19,1,1,1,1,15000,11
33,54,1,1,16,1,1,9,1,23400,6
33,51,1,1,19,2,3,1,1,30000,4
33,42,1,1,18,1,1,1,1,52000,22
33,42,1,1,18,2,6,1,1,0,19
33,15,1,5,12,2,NA,1,1,0,23
33,12,1,5,8,2,NA,1,1,NA,21
33,72,1,2,16,2,6,1,1,4900,25
33,31,1,1,20,2,1,1,1,65000,13
33,30,1,1,17,1,1,1,1,45000,13
33,1,1,5,NA,2,NA,1,1,NA,17
33,65,1,1,18,1,6,1,1,92500,13
33,60,1,1,19,2,1,1,1,3500,14
33,73,1,2,13,2,6,1,1,12200,19
33,53,1,5,17,1,1,1,1,120000,23
33,50,1,1,16,1,1,1,1,57000,17
33,51,1,1,16,2,1,1,1,17000,16
33,51,1,1,22,1,1,1,1,45000,21
33,53,1,1,21,2,6,1,1,17300,22
33,11,1,5,8,2,NA,1,1,NA,17
33,17,1,5,15,2,3,1,1,740,22
33,12,1,5,8,1,NA,1,1,NA,19
33,20,1,5,19,2,6,1,1,0,22
33,68,1,2,16,2,1,1,1,44300,17
33,40,1,1,18,1,1,1,1,37200,19
33,36,1,1,21,2,1,1,1,42200,21
33,3,1,5,1,1,NA,1,1,NA,16
33,48,1,1,21,1,1,1,1,160100,15
33,47,1,1,16,2,1,1,1,5600,18
33,15,1,5,12,1,NA,1,1,700,16
33,11,1,5,8,2,NA,1,1,NA,17
33,61,1,3,16,2,1,1,1,27300,10
33,42,1,1,16,2,1,1,1,10000,61
33,54,1,1,16,1,1,1,1,60000,71
33,41,1,3,20,2,6,1,1,16200,6
33,16,1,5,13,2,6,1,1,3500,7
33,7,1,5,4,2,NA,1,1,NA,4
33,5,1,5,2,2,NA,1,1,NA,3
33,69,1,4,15,2,6,1,1,8200,22
33,32,1,5,15,2,6,1,1,8200,36
33,32,1,3,15,2,1,1,1,21200,28
33,60,1,1,21,1,1,1,1,49000,6
33,54,1,1,20,2,6,1,1,0,8
33,43,1,1,21,2,1,1,1,55000,24
33,41,5,1,22,1,1,1,1,65000,26
33,9,1,5,6,2,NA,1,1,NA,19
33,65,1,3,22,2,1,1,1,46000,9
33,37,1,5,22,2,1,1,1,39000,12
33,54,1,1,23,1,1,1,1,234000,19
33,54,1,1,21,2,1,1,1,80000,20
33,25,3,1,22,2,1,1,1,55000,21
33,28,1,1,21,1,1,1,1,57000,23
33,67,1,2,17,2,1,1,1,23200,14
33,54,1,1,22,2,1,1,1,50000,19
33,52,1,1,19,1,1,1,1,35600,19
33,49,1,1,16,2,1,1,1,71150,19
33,51,1,1,19,1,6,1,1,16200,17
33,58,3,1,16,2,1,1,1,21600,23
33,53,1,1,15,1,1,1,1,16600,19
33,82,1,4,17,1,6,1,1,29400,23
33,64,1,5,16,1,1,1,1,62700,22
33,16,1,5,19,2,2,1,1,210,19
33,49,1,3,16,1,1,1,1,33000,24
33,52,1,1,20,2,1,1,1,41500,23
33,55,1,1,21,1,1,1,1,56000,21
33,17,1,5,13,1,1,1,1,3500,22
33,50,1,1,16,2,1,1,1,30000,20
33,53,1,1,20,1,1,1,1,50000,18
33,30,1,5,21,1,1,1,1,30000,20
33,54,1,1,16,1,1,1,1,32000,17
33,52,1,1,14,2,6,1,1,0,15
33,62,1,1,20,1,1,1,1,40700,15
33,61,1,1,21,2,1,1,1,43000,16
33,29,1,1,20,1,1,1,1,60000,20
33,58,1,1,21,1,2,1,1,70000,40
33,60,1,1,22,2,1,1,1,65000,44
33,52,1,1,19,1,1,1,1,71000,12
33,48,1,1,22,2,1,1,1,82000,14
33,11,4,5,8,1,NA,6,1,NA,10
33,9,4,5,6,2,NA,6,1,NA,15
33,47,2,1,21,1,1,1,3,65000,16
