"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
44,62,1,1,22,1,1,1,88000,14
44,23,1,5,21,1,3,1,0,7
44,89,4,2,13,1,6,1,22700,18
44,77,1,5,21,2,1,1,39800,17
44,55,4,1,18,1,1,1,63600,13
44,48,4,1,19,2,1,1,36500,15
44,80,1,2,22,2,6,1,30500,13
44,58,1,3,19,2,1,1,85000,13
44,26,1,5,21,2,1,1,8000,32
44,27,5,5,21,2,1,6,130000,37
44,26,1,5,21,1,1,1,16000,46
44,68,1,2,21,1,6,1,30500,22
44,54,1,3,19,2,6,1,8400,14
44,33,1,3,16,1,1,1,33300,74
44,30,1,3,16,2,1,1,45000,62
44,68,1,1,13,1,6,1,38510,16
44,65,1,1,16,2,6,1,7800,16
44,33,1,4,19,2,1,1,44000,12
44,4,1,5,1,1,NA,1,NA,13
44,1,1,5,NA,2,NA,1,NA,14
44,50,1,1,16,2,1,1,7000,54
44,58,1,1,21,1,1,1,100000,55
44,21,1,5,19,2,6,1,0,69
44,19,1,5,16,2,6,1,0,48
44,16,1,5,13,2,6,1,0,62
44,73,4,1,1,1,6,1,220000,12
44,71,4,5,1,2,6,1,20700,20
44,50,1,1,24,1,1,1,95000,17
44,46,1,1,22,2,1,1,50000,17
44,48,1,1,21,1,1,1,101000,20
44,41,1,1,20,2,1,1,45000,13
44,21,1,5,19,2,1,1,25100,17
44,57,1,3,20,1,1,1,68100,10
44,70,1,1,19,1,6,1,25000,12
44,69,1,1,16,2,6,1,6000,14
44,42,1,5,13,1,1,1,17500,15
44,45,1,5,21,2,1,1,100000,19
44,58,1,1,19,1,1,1,60000,20
44,52,1,1,22,2,1,1,77500,18
44,42,5,1,22,1,1,1,55100,11
44,42,1,1,21,2,1,1,55100,12
44,10,3,5,7,2,NA,1,NA,12
44,61,1,2,19,1,6,1,74900,13
44,53,1,3,20,2,1,1,50800,13
44,47,1,1,16,2,1,1,22300,15
44,48,5,1,13,1,2,1,20000,15
44,25,1,5,18,1,1,1,23000,21
44,23,1,5,20,2,1,1,7100,15
44,72,1,1,21,1,6,2,40000,12
44,72,1,1,19,2,6,2,9500,12
44,30,5,5,15,1,1,1,40000,35
44,49,1,4,18,2,1,1,23000,17
44,27,1,5,21,2,1,1,22600,26
44,76,1,2,1,1,6,1,25250,16
44,21,1,5,19,1,1,1,5530,25
44,49,1,5,16,1,1,1,30200,13
44,75,1,2,18,2,6,1,33600,10
44,68,1,1,21,1,6,1,39300,14
44,58,1,1,22,2,1,1,280000,12
44,50,1,5,16,1,1,1,30000,17
44,54,1,1,19,1,1,1,265000,19
44,60,1,1,23,2,6,1,62000,18
44,46,1,1,19,1,1,8,23600,40
44,50,1,2,21,1,3,2,4000,33
44,20,1,5,16,1,6,1,2000,15
44,39,1,1,18,1,6,1,44400,14
44,38,1,1,21,2,1,1,56000,14
44,10,1,5,7,2,NA,1,NA,12
44,8,1,5,5,1,NA,1,NA,14
44,6,1,5,3,2,NA,1,NA,12
44,54,1,1,13,2,6,1,0,12
44,60,1,1,19,1,6,1,26500,12
44,52,1,3,23,2,1,1,60000,11
44,65,1,1,21,1,6,2,63900,12
44,62,1,1,19,2,1,2,21200,21
44,29,1,5,19,1,6,1,19100,38
44,32,1,1,16,2,6,1,0,46
44,36,3,1,16,1,1,1,17500,45
44,6,1,5,3,2,NA,1,NA,52
44,82,1,1,18,1,6,1,32300,13
44,74,1,1,16,2,6,1,10700,10
44,61,1,5,20,2,1,1,35000,12
44,63,1,3,16,2,6,1,17300,46
