"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
35,12,1,5,10,2,NA,1,1,NA,11
35,54,1,1,19,1,2,1,2,52000,13
35,51,1,1,16,2,3,1,2,45000,17
35,62,1,1,22,1,1,1,1,102000,14
35,59,1,1,22,2,1,1,1,89000,12
35,65,3,5,18,2,6,5,1,9600,7
35,28,1,1,19,2,6,1,1,0,31
35,24,1,1,19,1,1,1,1,33000,21
35,38,1,4,13,2,6,1,1,7200,46
35,64,1,1,11,1,1,8,2,12030,15
35,67,1,1,15,2,1,8,2,43500,13
35,38,1,5,16,2,6,8,2,0,16
35,24,1,5,17,1,6,8,2,0,12
35,13,1,5,11,1,NA,8,2,NA,12
35,73,1,2,16,2,6,1,1,18200,4
35,48,1,5,17,2,1,1,2,20300,11
35,52,1,3,11,1,1,1,2,760,21
35,61,1,2,12,2,1,1,24,25100,39
35,66,1,3,21,1,6,1,1,26904,20
35,27,1,1,14,2,1,2,2,3000,18
35,5,1,5,2,2,NA,2,2,NA,11
35,3,1,5,2,2,NA,2,2,NA,10
35,1,1,5,NA,1,NA,2,2,NA,11
35,88,1,2,11,2,6,1,2,16500,11
35,75,1,2,14,2,6,1,1,7400,44
35,24,1,5,18,2,1,1,23,16000,17
35,61,1,1,22,1,1,1,1,126500,15
35,60,1,1,19,2,1,1,1,24800,15
35,62,4,4,1,2,1,1,2,21400,13
35,22,1,5,16,2,1,1,2,8900,20
35,34,1,1,13,1,1,1,1,25000,30
35,33,1,1,19,2,1,1,1,10000,11
35,7,1,5,4,1,NA,1,1,NA,23
35,3,1,5,2,1,NA,1,1,NA,29
35,76,1,2,13,2,6,1,1,9800,62
35,59,1,1,16,1,1,1,1,68000,17
35,57,1,1,19,2,6,1,1,0,17
35,93,1,2,17,1,6,1,1,45200,21
35,53,1,1,21,1,3,1,1,0,16
35,63,1,1,22,1,1,5,1,89000,37
35,58,1,1,22,2,1,5,1,72000,35
35,47,1,1,17,1,1,1,1,33200,14
35,45,1,1,16,2,1,1,1,21500,14
35,22,1,5,15,1,6,1,1,0,16
35,20,1,5,15,2,6,1,1,0,31
35,57,1,2,16,2,1,3,1,34000,6
35,19,1,5,16,1,1,8,2,8000,26
35,56,1,1,19,1,1,1,1,28000,21
35,53,1,1,19,2,1,1,1,35000,19
35,70,1,1,22,1,6,1,24,31600,44
35,66,1,1,22,2,6,1,24,26900,39
35,54,1,1,16,1,6,8,2,0,32
