"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
54,53,1,1,19,2,1,1,1,25000,18
54,58,1,1,16,1,1,1,1,35000,25
54,14,1,5,11,1,NA,1,1,NA,22
54,39,1,1,16,1,1,1,1,95000,21
54,39,1,1,16,2,6,1,1,0,35
54,17,1,5,14,2,6,1,1,5600,39
54,14,1,5,11,2,NA,1,1,NA,38
54,50,1,2,16,2,1,2,1,38000,21
54,38,1,1,16,1,1,2,1,26000,20
54,58,1,3,16,1,1,2,1,23800,15
54,25,1,1,21,1,6,1,1,0,22
54,25,3,1,21,2,1,1,1,22000,19
54,1,1,5,NA,1,NA,1,1,NA,21
54,67,1,1,1,1,6,1,1,19400,14
54,68,1,1,1,2,6,1,1,0,12
54,58,1,1,16,1,1,1,1,24900,12
54,56,1,1,16,2,6,1,1,0,13
54,54,1,1,16,1,1,1,1,80000,12
54,53,1,1,16,2,6,1,1,0,13
54,19,1,5,18,1,6,1,1,3500,27
54,59,1,1,17,1,6,1,1,9000,6
54,54,1,1,16,2,1,1,1,51000,3
54,66,1,3,17,2,1,1,1,18900,17
54,43,1,1,21,1,1,1,1,87000,22
54,37,1,1,21,2,1,1,1,32000,36
54,11,1,5,8,2,NA,1,1,NA,39
54,7,1,5,4,1,NA,1,1,NA,23
54,4,1,5,1,2,NA,1,1,NA,43
54,49,1,1,21,1,1,1,1,110000,17
54,46,1,1,21,2,1,1,1,72000,23
54,70,1,1,11,1,6,1,1,21700,17
54,66,1,1,11,2,6,1,1,4100,16
54,53,1,1,16,1,1,1,1,39400,10
54,51,1,1,16,2,6,1,1,400,6
54,22,1,5,19,2,3,1,1,3000,7
54,19,1,5,16,1,1,1,1,300,6
54,62,1,2,21,1,1,1,1,9000,21
54,66,1,1,14,1,6,1,1,26000,4
54,65,1,1,16,2,6,1,1,12700,4
54,52,1,1,16,2,1,1,1,32000,12
54,56,1,1,16,1,1,1,1,45000,11
54,54,1,1,18,1,1,1,1,56140,18
54,51,1,1,20,2,1,1,1,18240,20
54,27,1,5,21,1,1,1,1,40000,32
54,78,1,1,16,1,6,1,1,25300,8
54,76,1,1,16,2,6,1,1,9500,10
54,80,1,2,19,1,6,1,1,23700,19
54,20,1,5,19,2,6,1,1,1200,6
54,53,1,1,21,2,1,1,1,13700,4
54,56,5,1,21,1,1,6,1,50000,3
54,55,1,3,16,1,1,1,1,42000,8
54,30,1,5,16,1,1,1,1,26600,9
54,76,1,1,11,1,6,1,1,14700,6
54,71,1,1,13,2,6,1,1,8200,9
54,46,1,3,14,1,3,1,1,2700,5
54,8,1,5,5,2,NA,1,1,NA,7
54,35,1,1,16,2,1,1,1,9000,21
54,38,1,1,16,1,1,1,1,40000,17
54,5,1,5,2,1,NA,1,1,NA,25
54,60,1,3,16,2,1,1,1,20200,25
54,71,1,1,13,1,1,1,1,17200,11
54,69,1,1,11,2,1,1,1,4600,18
54,46,1,1,16,2,6,1,1,0,22
54,48,1,1,17,1,1,1,1,47000,25
54,20,1,5,19,2,1,1,1,8000,38
54,17,1,5,13,2,6,1,1,4300,25
54,60,1,1,17,1,6,1,1,36000,17
54,55,1,1,16,2,1,1,1,28300,17
54,45,1,1,1,1,1,1,1,80000,20
54,50,1,1,12,2,1,1,1,60000,9
54,77,1,1,24,1,6,1,1,44700,11
54,74,1,1,21,2,2,1,1,12700,15
54,69,1,1,17,1,6,1,1,31500,15
54,67,1,1,16,2,6,1,1,7500,19
54,51,1,3,18,2,1,1,1,110000,18
54,16,1,5,13,2,6,1,1,0,13
54,57,1,1,16,1,1,1,1,34800,4
54,60,1,1,16,2,6,1,1,1300,6
54,30,3,1,22,2,1,9,1,40000,35
54,38,1,1,20,1,1,1,1,10000,16
54,0,1,5,NA,1,NA,9,1,NA,17
54,70,1,1,16,1,6,1,1,33000,13
54,67,1,1,17,2,6,1,1,6100,14
54,79,1,2,12,2,6,1,1,7000,5
54,60,1,1,19,1,6,1,1,24000,15
54,58,1,1,16,2,1,1,1,190900,17
54,55,1,3,19,2,1,1,1,45000,20
54,76,1,2,14,2,6,1,1,14000,24
54,50,1,1,16,2,6,1,1,0,36
54,56,1,1,11,1,6,1,1,7900,25
54,30,1,5,16,1,6,1,1,0,13
54,32,1,3,20,2,6,1,1,6400,15
54,36,1,5,19,1,3,1,1,33000,18
54,77,1,1,11,1,6,1,1,9200,9
54,67,1,1,12,2,6,1,1,9200,10
54,35,1,3,19,1,1,1,1,65000,8
54,2,1,5,NA,1,NA,1,1,NA,7
54,31,1,5,21,2,1,1,1,38400,8
54,50,1,1,16,1,1,1,1,35000,15
54,45,1,1,12,2,6,1,1,400,18
54,53,1,3,14,1,6,1,1,7600,7
54,71,1,1,16,1,6,1,1,19300,17
54,70,1,1,16,2,6,1,1,12300,16
54,93,1,2,11,2,6,1,1,7300,20
54,81,1,2,19,2,6,1,1,34000,14
54,55,1,2,16,2,1,1,1,24500,24
54,37,1,1,20,1,1,1,1,22000,22
54,38,1,1,22,2,1,1,1,58000,23
54,0,1,5,NA,1,NA,1,1,NA,23
54,74,1,1,16,1,6,1,1,27200,15
54,63,1,1,16,2,6,1,1,15700,15
54,45,1,1,16,1,1,1,1,80000,10
54,44,1,1,21,2,6,1,1,1200,8
54,15,1,5,12,1,NA,1,1,0,6
54,10,1,5,6,1,NA,1,1,NA,9
54,31,1,5,17,1,6,1,1,0,13
54,49,1,1,19,1,1,1,1,35800,5
54,49,1,1,19,2,1,1,1,35000,5
54,22,1,5,16,1,3,1,1,600,6
54,60,1,1,18,1,1,1,1,51000,15
54,56,1,1,18,2,6,1,1,3000,13
54,40,1,1,16,2,1,1,1,34300,14
54,43,1,1,17,1,1,1,1,28000,11
54,12,1,5,9,1,NA,1,1,NA,16
54,11,1,5,7,1,NA,1,1,NA,17
54,3,1,5,1,1,NA,1,1,NA,43
54,24,1,3,19,2,1,1,1,1800,39
54,4,1,5,1,1,NA,1,1,NA,64
54,1,1,5,NA,2,NA,1,1,NA,51
54,25,1,5,14,1,1,1,1,27500,46
54,22,1,5,21,1,1,1,1,24000,10
54,49,1,3,22,2,1,1,1,41500,7
54,22,1,5,21,2,6,1,1,2000,3
54,14,1,5,11,1,NA,1,1,NA,5
54,71,1,5,16,2,6,1,1,26900,16
54,36,1,1,16,1,1,1,1,68000,31
54,43,1,1,16,2,6,1,1,7500,29
54,20,1,5,17,1,1,1,1,3200,16
54,17,1,5,16,2,6,1,1,0,27
54,44,1,1,16,1,6,1,1,0,12
54,37,1,1,19,2,1,1,1,8000,10
54,15,1,5,12,2,NA,1,1,0,9
54,66,1,2,10,1,6,1,1,10900,17
54,44,1,2,16,1,6,2,1,0,18
54,51,1,5,19,1,1,1,1,8300,21
54,38,1,4,13,2,1,1,1,6400,30
54,17,1,5,11,1,6,1,1,0,44
54,16,1,5,11,1,6,1,1,0,44
54,15,1,5,11,1,NA,1,1,0,44
54,39,1,3,16,1,6,1,1,7600,36
54,59,4,1,21,1,1,1,1,397000,24
54,50,1,3,19,1,1,1,1,75050,16
54,74,1,2,21,2,6,1,1,13800,7
54,62,1,3,21,1,6,1,1,140,24
54,41,1,1,16,1,1,1,1,41000,3
54,41,1,1,16,2,1,1,1,13000,5
54,17,1,5,14,2,1,1,1,2000,5
54,72,1,1,16,1,6,1,1,18800,4
54,66,1,1,18,2,6,1,1,9100,3
54,53,1,1,12,2,1,1,1,10000,15
54,31,1,1,18,1,1,1,1,36100,7
54,30,1,1,20,2,1,1,1,8100,17
54,4,1,5,1,2,NA,1,1,NA,25
54,54,1,3,16,2,1,1,1,30004,16
54,24,1,5,19,2,1,1,1,10000,15
54,93,1,2,11,2,6,1,1,7600,13
54,70,1,2,16,2,6,1,1,10900,20
54,35,1,1,16,1,1,1,1,50000,5
54,33,1,1,16,2,1,1,1,13000,5
54,17,1,5,13,1,6,1,1,0,8
54,73,1,3,22,2,1,1,1,23600,12
54,47,1,5,19,2,1,1,1,48500,26
54,89,1,5,16,2,6,1,1,12100,16
54,44,1,1,16,1,1,1,1,29000,15
54,33,1,1,13,2,6,1,1,0,14
54,14,1,5,12,1,NA,1,1,NA,12
54,4,1,5,1,2,NA,1,1,NA,16
54,74,1,2,14,2,6,1,1,13800,14
54,29,1,1,16,2,1,1,1,13900,39
54,28,1,1,13,1,1,1,1,16000,29
54,9,1,5,6,2,NA,1,1,NA,17
54,6,1,5,3,2,NA,1,1,NA,17
54,4,1,5,1,2,NA,1,1,NA,19
54,36,1,1,20,2,6,1,1,5400,14
54,69,1,1,19,1,6,1,1,16000,10
54,60,1,1,20,2,1,1,1,10000,12
54,44,1,3,18,2,1,1,1,5000,13
54,59,1,3,16,1,6,1,1,30000,17
54,37,1,3,17,2,6,1,1,11700,19
54,20,1,5,13,1,3,1,1,1000,18
54,16,1,5,13,1,1,1,1,7800,10
54,14,1,5,11,1,NA,1,1,NA,19
54,35,1,1,21,2,1,1,1,39800,18
54,47,1,1,16,1,1,1,1,23000,13
54,17,1,5,13,2,6,1,1,2200,16
54,9,1,5,5,1,NA,1,1,NA,18
54,86,1,5,12,1,6,1,1,8400,18
54,27,1,3,16,2,1,1,1,30000,59
54,5,1,5,2,1,NA,1,1,NA,52
54,59,1,2,16,2,6,1,1,7500,51
54,50,1,1,19,1,1,1,1,60000,12
54,49,1,1,19,2,1,1,1,30020,15
54,70,1,1,23,1,6,1,1,80500,18
54,70,1,1,16,2,1,1,1,29210,23
54,27,1,5,11,2,6,1,1,7600,28
54,68,1,1,16,1,6,2,1,28800,10
54,65,1,1,20,2,6,2,1,7000,14
54,24,1,5,21,1,3,2,1,33900,29
54,37,1,3,19,2,1,1,1,23000,72
54,16,1,5,12,1,6,1,1,0,67
54,14,1,5,10,1,NA,1,1,NA,84
54,9,1,5,6,1,NA,1,1,NA,84
54,21,1,5,19,2,6,1,1,0,31
54,57,1,1,17,2,6,1,1,1000,18
54,63,1,1,9,1,6,1,1,9000,13
54,52,1,4,11,2,6,1,1,0,17
54,61,1,1,18,2,1,1,1,30000,17
54,59,1,1,20,1,1,1,1,66000,13
54,69,1,2,16,2,6,1,1,28520,12
54,43,1,1,19,1,1,1,1,75000,18
54,43,1,1,20,2,1,1,1,71000,17
54,16,1,5,13,2,6,1,1,500,22
54,12,1,5,9,1,NA,1,1,NA,17
54,45,1,5,20,2,1,1,1,50000,25
54,78,1,1,16,1,6,1,1,28400,16
54,73,1,1,14,2,6,1,1,19700,12
54,31,1,5,18,1,1,1,1,12000,41
54,3,1,5,2,1,NA,1,1,NA,54
54,2,1,5,NA,2,NA,1,1,NA,66
54,24,1,5,15,2,6,1,1,1440,89
54,42,1,1,18,1,1,1,1,14000,23
54,40,1,1,16,2,6,1,1,7200,26
54,18,1,5,13,2,6,1,1,7200,35
54,60,1,2,16,2,1,1,1,26700,30
54,25,1,1,19,2,1,1,1,15000,14
54,20,1,5,19,1,6,1,1,4500,30
54,19,1,5,19,1,1,1,1,3000,24
54,22,1,5,19,1,6,1,1,0,14
54,18,1,5,18,1,6,1,1,0,19
54,76,1,1,24,1,6,1,1,91400,19
54,76,1,1,19,2,6,1,1,15460,16
54,47,1,1,20,1,1,9,1,45000,31
54,44,1,1,21,2,6,9,1,0,48
54,10,1,5,7,1,NA,9,1,NA,25
54,7,1,5,4,2,NA,9,1,NA,24
54,65,1,1,19,1,6,1,1,36400,14
54,65,1,1,19,2,6,1,1,8200,14
54,87,1,2,13,2,6,1,1,11500,14
54,72,1,1,16,1,6,1,1,60800,12
54,70,1,1,19,2,6,1,1,23700,16
54,53,1,3,16,2,1,1,1,11000,23
54,10,1,5,7,2,NA,1,1,NA,23
54,18,1,5,19,1,6,1,1,3000,45
54,62,1,1,21,1,1,1,1,56000,14
54,57,1,1,22,2,1,1,1,40000,16
54,77,1,2,14,2,6,1,1,12000,10
54,36,1,1,19,2,6,1,1,500,25
54,40,1,1,16,1,1,1,1,58000,19
54,5,1,5,3,2,NA,1,1,NA,24
54,1,1,5,NA,1,NA,1,1,NA,27
54,57,1,5,18,1,1,1,1,9440,26
54,71,1,2,16,2,6,1,1,18500,4
54,22,1,5,19,1,1,1,1,40000,36
54,20,1,5,19,1,1,1,1,12000,84
54,29,1,5,21,2,1,1,1,23000,4
54,5,1,5,1,1,NA,1,1,NA,5
54,64,1,1,21,2,6,1,1,32330,24
54,64,1,1,22,1,6,1,1,39500,21
54,79,1,1,16,1,6,1,1,15500,16
54,75,1,1,14,2,6,1,1,5500,19
54,63,1,1,11,1,6,1,1,36400,25
54,62,1,1,17,2,6,1,1,5600,25
54,26,1,3,14,2,2,1,1,14000,5
54,4,1,5,2,2,NA,1,1,NA,7
54,3,1,5,2,1,NA,1,1,NA,4
54,1,1,5,NA,2,NA,1,1,NA,8
54,55,1,1,19,1,1,1,1,58600,15
54,52,1,1,20,2,1,1,1,59000,15
54,86,1,2,13,2,6,1,1,8800,12
54,62,1,1,16,1,6,1,1,15100,18
54,56,1,1,16,2,6,1,1,0,22
54,51,1,1,17,2,1,1,1,17000,11
54,51,1,1,16,1,1,1,1,9000,17
54,27,1,5,19,1,1,1,1,3000,16
54,46,1,3,21,2,1,2,1,17900,10
54,19,1,5,19,1,6,2,1,3900,44
54,16,1,5,13,2,6,2,1,0,9
54,15,1,5,12,2,NA,2,1,0,9
54,35,1,1,21,1,1,1,1,50000,47
54,48,1,1,18,2,1,1,1,26600,13
54,50,1,1,16,1,1,1,1,19600,10
54,35,1,3,17,1,6,1,1,0,25
54,24,1,5,13,1,3,1,1,0,12
54,5,1,5,1,1,NA,1,1,NA,16
54,2,1,5,NA,1,NA,1,1,NA,12
54,0,1,5,NA,1,NA,1,1,NA,12
54,88,1,2,9,2,6,1,1,22400,54
54,63,1,3,11,2,6,1,1,13600,8
54,52,1,3,16,2,1,1,1,48000,18
54,46,1,1,21,2,1,2,1,35000,32
54,45,1,1,16,1,1,2,1,15000,36
54,15,1,5,12,1,NA,2,1,0,42
54,79,1,1,11,1,6,1,1,21000,4
