"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","PINCP","PWGTP"
5,43,1,3,19,1,1,1,67030,5
5,21,1,5,19,2,1,1,12000,6
5,70,1,5,16,2,6,1,5200,11
5,75,1,1,10,1,6,1,7600,18
5,72,1,1,17,2,6,1,3100,20
5,93,1,2,1,2,6,1,10000,23
5,50,1,1,16,1,1,1,57000,7
5,48,1,1,16,2,6,3,7800,12
5,50,1,1,12,2,6,1,0,37
5,54,1,1,16,1,1,1,30000,37
5,29,1,1,13,2,3,1,4100,14
5,73,1,2,21,2,6,1,59000,15
5,68,1,3,20,1,6,1,7100,19
5,23,1,1,18,1,1,1,37000,2
5,26,1,1,19,2,1,1,7000,6
5,2,1,5,NA,1,NA,1,NA,6
5,0,1,5,NA,2,NA,1,NA,5
5,57,1,1,16,2,1,2,14000,13
5,56,1,1,16,1,2,2,7200,8
5,49,4,1,23,2,6,6,0,50
5,50,1,1,19,1,1,1,43900,23
5,44,4,1,12,2,1,1,13100,8
5,34,5,1,16,1,1,1,3000,9
5,10,1,5,7,2,NA,1,NA,9
5,8,1,5,5,2,NA,1,NA,9
5,5,1,5,2,1,NA,1,NA,12
5,84,1,2,11,2,6,2,10300,15
5,74,1,2,16,2,6,1,8900,20
5,35,1,3,16,1,6,1,17700,22
5,12,1,5,9,2,NA,1,NA,10
5,47,1,1,19,2,2,1,30550,18
5,59,1,1,19,1,2,1,30000,19
5,60,1,3,13,2,1,1,27800,4
5,59,1,3,20,2,6,2,9300,12
5,50,1,3,17,1,6,9,1800,34
5,60,1,1,21,1,1,1,49100,20
5,60,1,1,19,2,1,2,13400,16
5,55,1,5,16,1,1,2,20800,42
5,58,1,5,16,1,6,2,10800,18
5,62,1,1,22,1,1,1,28400,11
5,62,1,1,16,2,6,1,6000,11
5,88,1,2,11,2,6,1,10800,6
5,30,1,1,21,1,1,1,55000,13
5,26,1,1,21,2,1,1,30000,17
5,49,1,1,16,2,1,2,30000,18
5,51,1,1,16,1,1,2,40000,19
5,77,1,1,12,1,6,1,14400,9
5,77,1,1,17,2,6,1,18600,15
5,46,1,5,16,2,1,2,14000,12
5,11,1,5,6,1,NA,2,NA,15
5,8,1,5,4,1,NA,2,NA,14
5,44,1,5,16,1,1,2,4100,19
5,67,1,1,16,2,6,1,23470,5
5,72,1,1,16,1,6,1,30070,4
5,69,1,4,16,1,6,1,47500,4
5,73,1,1,19,1,6,1,23400,21
5,71,1,1,17,2,6,1,5400,21
5,47,1,5,16,2,1,1,35100,18
5,33,1,5,16,2,6,1,10800,25
5,62,1,3,16,1,6,1,12000,16
5,41,1,3,19,2,1,1,28000,2
5,10,1,5,7,2,NA,1,NA,5
5,60,1,3,16,2,1,1,24000,15
5,70,1,1,18,1,6,1,17000,40
5,66,1,1,18,2,1,1,39200,49
5,23,1,5,14,2,6,1,4150,15
5,4,1,5,2,2,NA,1,NA,17
5,1,1,5,NA,1,NA,1,NA,16
5,0,1,5,NA,1,NA,1,NA,16
5,22,1,5,13,1,1,1,9500,15
5,31,1,1,21,2,1,1,40000,27
5,38,1,1,17,1,1,1,35000,27
5,7,1,5,4,1,NA,1,NA,24
5,4,1,5,1,2,NA,1,NA,20
5,9,1,5,6,1,NA,1,NA,24
5,63,1,1,19,1,1,1,18700,25
5,62,1,1,18,2,1,1,12000,20
5,80,1,2,10,2,6,1,23200,22
5,51,1,3,21,2,1,1,32000,16
5,17,3,5,14,1,1,1,3500,15
5,6,1,5,3,1,NA,1,NA,20
5,47,1,1,21,1,1,1,112500,32
5,44,1,1,20,2,1,1,42200,20
5,15,1,5,12,1,NA,1,0,21
5,20,1,5,20,2,1,1,2000,12
5,21,1,1,19,2,1,1,3000,12
5,33,1,1,18,2,1,1,25000,17
5,39,1,1,18,1,1,1,3000,10
5,58,1,1,21,2,1,1,65000,13
5,66,1,1,24,1,1,1,146000,15
5,31,1,1,22,2,1,1,60000,14
5,30,1,1,21,1,1,1,60000,22
5,42,4,1,9,1,1,8,25000,59
5,41,5,1,8,2,1,8,16000,33
5,15,4,5,11,1,NA,8,0,40
5,9,4,5,6,2,NA,8,NA,38
5,7,1,5,3,1,NA,8,NA,48
5,80,1,2,16,2,6,1,31000,18
5,74,1,1,16,1,6,1,26100,16
5,73,1,1,14,2,6,1,3700,19
5,59,1,4,16,2,1,2,15000,18
5,79,1,1,22,1,6,1,91500,21
5,79,1,1,19,2,6,1,4200,23
5,6,1,5,2,1,NA,1,NA,26
5,35,1,1,22,1,1,1,70000,21
5,33,1,1,21,2,1,1,6000,17
5,8,1,5,5,1,NA,1,NA,22
5,6,1,5,3,1,NA,1,NA,23
5,5,1,5,2,1,NA,1,NA,22
5,38,1,3,22,2,1,1,41000,11
5,71,1,1,13,1,6,1,20800,15
5,72,1,1,16,2,6,1,14400,13
5,38,5,1,6,1,1,1,16000,28
5,29,5,1,16,2,6,1,0,28
5,10,1,5,6,1,NA,1,NA,28
5,4,1,5,1,2,NA,1,NA,34
5,27,1,1,21,2,1,1,23000,14
5,30,1,1,20,1,2,1,6000,12
5,9,1,5,6,2,NA,1,NA,16
5,63,1,5,8,1,1,2,7200,6
5,16,1,5,12,1,1,2,4000,22
5,68,1,3,16,1,1,2,33400,19
5,81,1,2,16,2,6,1,7700,58
5,66,1,1,16,1,1,1,52500,16
5,66,1,1,16,2,6,1,2900,21
5,38,1,1,21,2,1,1,40000,5
5,42,1,1,19,1,1,1,42000,5
5,10,1,5,7,2,NA,1,NA,4
5,49,1,2,18,2,6,1,7600,4
5,35,5,1,16,1,1,1,5800,3
5,31,5,1,19,2,1,1,1300,2
5,7,1,5,3,2,NA,1,NA,10
5,2,1,5,NA,1,NA,1,NA,9
5,32,1,1,16,1,1,1,50200,3
5,22,1,1,21,2,6,1,5000,5
5,57,1,5,1,2,6,1,1200,12
5,86,1,2,16,2,6,1,13000,12
5,45,1,4,11,1,6,1,7800,21
5,33,1,5,16,1,1,1,15300,32
5,72,1,2,16,2,6,1,25000,5
5,47,1,3,19,2,1,1,15000,12
5,24,1,5,21,2,1,1,22500,22
5,78,1,2,14,2,6,1,15700,19
5,52,1,3,17,1,1,1,36000,34
5,48,4,1,16,1,1,6,15000,53
5,33,5,1,17,2,1,6,14000,34
5,9,1,5,6,1,NA,6,NA,73
5,57,1,3,19,1,6,2,1400,18
5,63,1,1,17,2,1,1,40000,25
5,66,1,1,16,1,6,1,12000,16
5,51,1,1,16,1,1,1,52000,52
5,53,5,1,9,2,6,1,0,50
5,15,1,5,11,1,NA,1,0,58
5,32,5,1,16,1,1,1,30000,79
5,2,1,5,NA,2,NA,1,NA,47
5,27,1,1,19,2,1,1,12000,75
5,50,1,3,19,2,1,1,38000,13
5,65,1,1,16,1,6,1,23800,32
5,64,1,1,16,2,1,1,32000,31
5,42,1,5,16,2,1,1,24000,18
5,62,1,2,19,2,1,1,50251,13
5,54,1,1,18,2,1,1,65000,14
5,57,1,1,13,1,1,1,35000,12
5,25,1,5,17,1,6,2,0,26
5,77,1,2,16,2,6,1,20000,14
5,48,1,2,20,2,1,1,46000,3
5,27,1,5,19,2,1,2,9800,35
5,8,1,5,5,2,NA,2,NA,26
5,0,1,5,NA,1,NA,2,NA,28
5,76,1,2,14,2,6,1,20400,20
5,58,1,1,16,2,1,1,52000,49
5,64,1,1,11,1,1,1,24500,54
5,69,1,2,19,2,6,1,8400,14
5,25,1,5,21,1,1,1,10000,19
5,66,1,1,21,1,1,1,79300,16
5,64,1,1,16,2,1,1,24400,12
5,41,1,1,16,2,1,1,25000,21
5,45,1,1,16,1,1,1,26200,19
5,44,1,3,11,2,6,2,0,34
5,34,1,3,16,1,1,1,48000,15
5,62,1,1,16,2,1,1,30000,13
5,58,1,1,19,1,1,1,25000,15
5,54,1,1,21,1,1,1,65001,16
5,41,1,1,16,2,1,1,8000,21
5,53,1,1,16,1,1,1,75000,9
5,51,1,1,18,2,1,1,41000,14
5,53,1,1,18,1,1,1,48000,5
5,50,1,1,16,2,1,1,21000,6
5,33,1,3,16,2,1,1,6900,4
5,10,1,5,6,1,NA,1,NA,4
5,5,1,5,1,2,NA,1,NA,4
5,29,1,3,19,1,3,1,32000,5
5,40,1,1,16,1,1,1,37000,11
5,38,3,1,18,2,1,1,37600,10
5,14,1,5,11,2,NA,1,NA,6
5,9,1,5,6,2,NA,1,NA,6
5,6,1,5,3,2,NA,1,NA,6
5,76,1,1,19,1,6,1,16400,46
5,75,1,1,16,2,6,1,6700,49
5,38,1,1,12,2,6,1,13200,12
5,42,1,1,16,1,1,1,20000,18
5,16,1,5,13,2,6,1,0,10
5,14,1,5,11,1,NA,1,NA,16
5,35,1,3,20,2,1,2,20000,13
5,16,1,5,13,1,6,2,0,7
5,8,1,5,5,2,NA,2,NA,13
5,72,1,2,16,1,6,1,31000,4
5,65,1,1,14,2,6,1,11300,9
5,70,1,1,7,1,6,1,8200,6
5,22,1,5,13,1,3,1,0,6
5,38,1,1,21,1,1,1,63000,45
5,32,1,1,19,2,1,1,9000,56
5,4,1,5,1,2,NA,1,NA,37
5,2,1,5,NA,2,NA,1,NA,37
5,41,1,5,20,2,1,1,12000,61
5,17,1,5,14,2,1,1,8000,69
5,44,1,3,20,1,1,1,6000,32
5,38,1,1,21,1,1,1,78000,16
5,37,1,1,20,2,6,1,0,14
5,8,1,5,6,2,NA,1,NA,18
5,4,1,5,2,1,NA,1,NA,18
5,71,1,1,21,2,6,1,32630,20
5,63,1,1,20,1,6,1,51000,25
5,60,1,1,18,2,6,1,0,27
5,43,1,5,21,2,1,1,60800,21
5,45,1,1,21,1,1,1,122000,22
5,65,1,1,17,2,1,1,13600,4
5,55,1,1,16,1,1,1,31700,4
5,33,1,3,21,2,1,1,40690,28
5,4,1,5,1,1,NA,1,NA,29
5,35,1,4,13,2,1,1,20800,8
5,17,1,5,14,1,6,1,10000,6
5,16,1,5,13,1,6,1,0,7
5,14,1,5,11,2,NA,1,NA,7
5,12,1,5,10,1,NA,1,NA,10
5,63,1,3,18,2,6,1,12000,29
5,53,1,3,19,2,1,1,39000,20
5,51,1,3,21,2,1,1,1600,3
5,93,1,2,16,2,6,1,14200,14
5,65,1,1,16,1,6,1,21100,10
5,66,1,1,16,2,6,1,2500,14
5,63,1,1,19,1,6,2,26000,19
5,61,1,1,19,2,6,2,17800,21
5,37,1,1,18,1,1,1,104200,8
5,27,1,1,19,2,1,1,8000,1
5,4,1,5,1,1,NA,1,NA,2
5,0,1,5,NA,1,NA,1,NA,2
5,57,1,1,16,1,1,1,80000,30
5,52,1,1,16,2,1,1,36700,23
5,18,1,5,14,1,6,1,820,23
5,50,3,3,16,2,6,1,3800,15
5,25,1,1,11,2,1,1,6700,21
5,6,1,5,3,2,NA,1,NA,18
5,3,1,5,1,1,NA,1,NA,15
5,30,1,1,17,1,3,1,10800,17
5,31,4,5,16,1,1,1,35000,56
5,15,5,5,11,1,NA,1,0,50
5,47,5,2,13,2,6,1,0,89
5,73,1,3,20,1,6,2,11100,3
5,53,1,1,19,1,1,1,40000,5
5,48,3,1,19,2,1,1,25000,5
5,13,1,5,10,1,NA,1,NA,6
5,54,1,3,15,2,6,1,7400,25
5,50,1,3,16,2,1,1,15600,14
5,20,1,5,16,1,1,1,10200,14
5,78,1,1,12,1,6,1,20100,32
5,70,1,1,15,2,3,1,18800,26
5,41,1,5,21,2,1,9,14000,24
5,2,1,5,NA,1,NA,9,NA,25
5,43,1,3,19,2,1,1,12000,13
5,54,1,4,16,1,6,1,0,11
5,44,1,1,20,1,1,1,27400,17
5,48,1,1,18,2,1,1,28150,17
5,50,1,1,21,1,1,2,43300,13
5,48,1,1,20,2,1,2,48400,18
5,26,1,5,21,1,3,2,0,15
5,84,1,2,17,2,6,1,29910,4
5,47,1,5,16,2,1,2,28000,6
5,39,1,1,19,1,4,9,65000,24
5,36,1,1,16,2,1,1,30000,24
5,14,1,5,11,1,NA,1,NA,33
5,46,1,1,19,2,1,1,45000,38
5,51,1,1,21,1,1,1,40000,43
5,23,1,3,13,2,1,1,4200,82
5,18,1,5,16,1,1,1,10000,63
5,12,1,5,10,1,NA,1,NA,36
5,5,1,5,1,1,NA,1,NA,37
5,0,1,5,NA,2,NA,1,NA,38
5,25,4,1,19,1,1,1,3000,76
5,68,1,2,17,2,6,1,34400,22
5,58,1,1,19,1,6,1,31700,17
5,52,1,1,18,2,6,1,12100,11
5,22,1,5,19,2,6,1,0,18
5,0,1,5,NA,2,NA,1,NA,14
5,81,1,2,16,2,6,1,21000,20
5,35,1,5,14,2,1,1,20000,42
5,18,1,5,17,1,1,9,3000,91
5,8,1,5,5,2,NA,9,NA,38
5,68,1,5,13,1,6,1,12400,3
5,62,1,2,16,1,6,2,13200,34
5,41,1,5,1,2,6,2,4500,15
5,83,1,1,16,2,6,1,16400,18
5,84,1,1,16,1,6,1,107600,11
5,41,1,4,16,2,6,1,16000,17
5,17,1,5,17,1,3,1,1200,18
5,16,1,5,12,2,6,1,1200,14
5,25,1,1,21,2,1,1,29000,26
5,28,1,1,19,1,1,1,38000,20
5,83,1,3,21,2,6,1,36900,9
5,59,4,1,10,2,6,6,27300,5
5,31,5,5,15,2,1,1,25000,15
5,14,1,5,10,2,NA,1,NA,22
5,11,1,5,8,1,NA,1,NA,20
5,2,1,5,NA,2,NA,1,NA,44
5,46,1,5,21,2,6,1,8500,20
5,60,1,2,20,2,6,1,35000,19
5,60,1,3,20,1,6,5,0,18
5,45,1,1,14,1,3,8,40000,45
5,42,5,1,12,2,6,8,0,35
5,17,1,5,13,1,6,8,0,43
5,8,1,5,5,2,NA,8,NA,62
5,46,1,1,21,2,1,1,83000,19
5,48,1,1,21,1,1,1,65000,14
5,44,1,3,21,1,1,2,23000,52
5,30,1,4,12,2,3,2,450,115
5,57,1,1,19,1,6,2,152000,24
5,56,1,1,16,2,6,1,0,11
5,53,1,1,23,2,1,1,90000,18
5,53,1,1,23,1,1,1,105000,23
5,38,1,1,21,1,1,1,85000,18
5,35,1,1,16,2,1,1,13500,19
5,15,1,5,11,1,NA,1,0,30
5,10,1,5,6,1,NA,1,NA,19
5,4,1,5,2,1,NA,1,NA,20
5,27,1,5,19,2,1,2,32000,12
5,55,1,5,22,2,1,2,54000,16
