"ST","AGEP","CIT","MAR","SCHL","SEX","ESR","RAC1P","HISP","PINCP","PWGTP"
56,6,1,5,3,2,NA,1,1,NA,5
56,1,1,5,NA,1,NA,1,1,NA,3
56,69,1,1,13,1,6,1,1,12600,5
56,59,1,1,16,2,6,1,1,0,4
56,61,1,2,16,2,3,1,1,22000,17
56,46,1,1,21,1,1,5,23,51100,12
56,44,1,1,19,2,6,5,23,0,32
56,23,1,5,19,1,1,5,23,24500,23
56,17,1,5,14,1,6,3,23,0,20
56,8,1,5,4,2,NA,5,23,NA,16
56,25,1,1,19,1,1,1,1,70000,22
56,22,1,1,18,2,1,1,1,30000,17
56,56,1,3,16,1,1,1,1,39100,22
56,68,1,1,18,1,1,1,1,29900,33
56,70,1,1,16,2,6,1,1,17700,26
56,40,1,3,19,2,1,1,1,27000,48
56,13,1,5,10,1,NA,1,1,NA,41
56,11,1,5,8,2,NA,1,1,NA,37
56,7,1,5,4,1,NA,1,1,NA,41
56,24,1,5,21,2,1,1,1,6000,16
56,65,1,1,21,1,1,1,1,102100,22
56,63,1,1,21,2,1,1,1,35400,15
56,55,1,1,24,1,1,1,1,77600,29
56,52,1,1,24,2,1,1,1,54620,41
56,68,1,1,19,2,6,1,1,36700,11
56,70,1,1,16,1,6,1,1,24100,15
56,48,1,1,20,2,6,1,1,6020,34
56,55,1,1,15,1,6,1,1,30000,18
56,58,1,1,19,2,1,1,1,50000,14
56,34,1,1,21,2,1,8,1,40000,10
56,38,1,1,21,1,1,1,1,25000,7
56,6,1,5,3,1,NA,1,1,NA,5
56,3,1,5,1,1,NA,1,1,NA,3
56,26,1,5,18,2,1,1,1,13600,22
56,9,1,5,5,1,NA,1,2,NA,19
56,2,1,5,NA,2,NA,1,1,NA,34
56,4,1,5,2,1,NA,1,1,NA,29
56,30,1,5,17,1,1,1,1,22500,35
56,24,1,1,17,2,1,1,1,35200,16
56,24,1,1,17,1,1,1,1,41100,10
56,5,1,5,2,2,NA,1,1,NA,16
56,3,1,5,1,1,NA,1,1,NA,9
56,1,1,5,NA,2,NA,1,1,NA,9
56,0,1,5,NA,2,NA,1,1,NA,9
56,47,1,1,17,1,1,1,1,31000,3
56,50,1,1,20,2,1,1,1,18000,3
56,9,1,5,6,2,NA,1,1,NA,2
56,26,1,5,21,2,1,1,1,200,9
56,28,1,5,21,1,1,1,1,42000,9
56,47,1,3,17,2,6,1,1,1000,13
56,43,3,1,20,1,1,1,1,52000,33
56,51,1,1,19,2,1,1,1,12000,35
56,18,1,5,16,1,1,1,1,5500,40
56,17,1,5,14,2,6,1,1,0,28
56,15,1,5,9,1,NA,1,1,0,51
56,13,1,5,10,1,NA,1,1,NA,39
56,12,1,5,9,1,NA,1,1,NA,39
56,71,1,1,21,1,6,1,1,49600,16
56,71,1,1,19,2,6,1,1,8050,12
56,58,1,1,19,2,1,1,1,32000,9
56,55,1,1,18,1,6,1,1,0,10
56,64,1,3,13,2,6,1,1,8100,15
56,49,1,1,16,2,1,1,1,10400,19
56,54,1,1,16,1,1,1,1,55000,14
56,39,1,3,21,2,1,1,1,441000,55
56,18,1,5,16,1,1,1,1,9400,91
56,9,1,5,6,1,NA,1,1,NA,54
56,54,1,1,19,2,6,1,1,0,16
56,53,1,1,21,1,1,1,1,54000,18
56,5,1,5,2,1,NA,1,1,NA,17
56,64,1,5,16,1,6,1,1,43000,9
56,93,1,2,16,2,6,1,1,15300,17
56,56,1,3,20,2,1,1,1,28000,16
56,68,1,3,22,2,1,1,1,33300,53
56,36,1,1,16,1,1,1,1,55000,5
56,29,1,1,16,2,1,9,1,11000,4
56,8,1,5,4,1,NA,1,1,NA,5
56,6,1,5,3,1,NA,1,1,NA,5
56,4,1,5,1,2,NA,1,1,NA,4
56,28,1,5,19,2,1,1,1,18900,24
56,63,5,1,12,1,1,1,2,61000,52
56,45,5,1,6,1,1,1,2,64000,22
56,43,5,1,16,1,1,1,2,9000,25
56,64,1,1,16,2,1,1,1,26400,14
56,66,1,1,16,1,1,1,1,70800,13
56,43,1,1,21,2,1,1,1,49900,19
56,42,1,1,19,1,1,1,1,29200,18
56,17,1,5,14,1,1,1,1,8800,18
56,13,1,5,10,1,NA,1,1,NA,18
56,26,1,5,17,1,6,1,1,32000,8
56,50,1,3,16,1,1,1,2,23500,23
56,39,1,1,16,2,1,1,1,36000,55
56,45,1,1,16,1,1,8,24,38000,42
56,17,1,5,13,1,6,8,24,400,30
56,10,1,5,6,1,NA,8,24,NA,24
56,59,1,1,15,1,1,1,1,40100,15
56,55,1,1,19,2,1,1,1,47900,16
56,26,1,5,16,2,1,1,1,7000,35
56,72,1,1,19,1,6,1,1,25800,24
56,71,1,1,21,2,2,1,1,16200,19
56,58,1,1,20,1,1,1,1,60000,22
56,57,1,1,20,2,1,1,1,12000,18
56,18,1,5,14,1,1,1,1,5000,14
56,80,1,2,21,2,6,1,1,46500,22
56,53,1,5,16,1,1,1,1,45000,64
56,60,1,3,16,2,2,1,1,1000,59
56,45,1,1,18,1,1,1,1,23000,54
56,37,1,1,19,2,1,1,1,64000,67
56,19,1,5,17,2,1,1,1,8000,32
56,16,1,5,12,1,6,1,1,2500,42
56,65,1,1,18,2,6,1,1,10800,3
56,66,1,1,17,1,3,1,1,33200,3
56,34,1,5,13,2,1,1,1,4000,2
56,10,1,5,6,2,NA,9,1,NA,4
56,9,1,5,6,2,NA,9,1,NA,5
56,6,1,5,1,1,NA,9,1,NA,6
56,75,1,1,16,1,1,1,1,38400,4
56,74,1,1,16,2,6,1,1,2400,4
56,61,1,1,22,1,1,1,1,165000,4
56,59,1,1,22,2,6,1,1,5000,5
56,55,1,1,16,1,1,1,1,35000,28
56,50,1,1,16,2,6,1,1,0,28
56,19,1,5,14,1,6,1,1,0,17
56,44,1,1,19,2,1,3,1,29640,15
56,47,1,1,19,1,1,3,1,48000,13
56,17,1,5,13,1,6,3,1,1100,27
56,27,1,1,15,2,1,9,23,5100,22
56,27,1,1,16,1,1,1,1,35000,39
56,2,1,5,NA,2,NA,9,23,NA,12
56,57,1,1,20,1,6,9,1,20000,27
56,55,1,1,19,2,6,9,1,0,27
56,35,1,1,19,2,1,1,1,41000,5
56,35,1,1,16,1,1,1,1,40000,7
56,13,1,5,9,2,NA,1,1,NA,5
56,70,1,5,16,1,6,1,1,0,7
56,35,1,1,16,1,1,1,1,25430,9
56,34,1,1,21,2,6,1,1,46000,5
56,0,1,5,NA,1,NA,1,1,NA,7
56,68,1,3,20,1,6,1,1,8500,3
56,65,1,1,16,1,1,1,1,77000,20
56,67,1,1,14,2,1,1,1,62000,16
56,61,1,1,16,2,6,9,1,10900,15
56,61,1,1,14,1,6,1,1,14100,14
56,81,1,2,16,1,6,1,1,15600,19
56,57,1,1,21,2,1,1,1,171000,17
56,59,1,1,23,1,1,1,1,395000,14
56,40,1,1,22,2,6,1,1,55000,18
56,40,1,1,21,1,6,1,1,50000,20
56,18,1,5,16,2,1,1,1,3000,17
56,15,1,5,12,2,NA,1,1,1000,20
56,36,1,1,16,1,1,1,1,97500,15
56,43,1,1,17,2,1,1,1,9000,16
56,82,1,1,19,1,6,1,1,22700,6
56,78,1,1,15,2,6,1,1,13100,5
56,74,1,1,21,1,6,1,1,53900,17
56,76,1,1,16,2,6,1,1,2540,15
56,47,1,1,16,1,1,1,2,55000,15
56,44,1,1,16,2,1,1,1,30000,5
56,18,1,5,16,2,1,1,2,10000,19
56,17,1,5,14,1,6,1,2,5000,5
56,52,1,1,16,1,1,1,1,75000,13
56,51,1,1,16,2,1,1,1,36000,18
56,55,1,3,19,2,1,1,1,36600,16
56,37,1,1,18,1,1,1,1,28000,15
56,32,1,1,19,2,1,1,1,36000,13
56,16,1,5,13,1,1,1,1,4000,13
56,2,1,5,NA,1,NA,1,1,NA,14
56,0,1,5,NA,2,NA,1,1,NA,21
56,48,1,1,22,2,2,9,2,8000,17
56,50,1,5,17,1,6,1,1,0,12
56,42,1,5,16,2,1,2,1,4800,20
56,17,1,5,12,1,3,2,1,600,49
56,64,1,1,21,1,6,1,1,29000,24
56,53,1,1,20,2,1,1,1,21400,33
56,54,1,1,21,1,1,1,1,54490,31
56,52,1,1,21,2,2,1,1,10400,25
56,12,1,5,9,2,NA,1,1,NA,30
56,45,1,3,21,1,1,1,1,86000,13
56,18,1,5,14,1,3,1,1,0,12
56,56,1,1,16,1,2,1,1,203500,11
56,52,1,1,22,2,1,1,1,62000,8
56,18,1,5,14,1,1,1,1,20,17
56,16,1,5,13,2,6,1,1,3000,9
56,14,1,5,10,2,NA,1,1,NA,15
56,46,1,5,19,1,1,1,1,43000,21
56,55,1,1,19,1,1,1,1,60200,23
56,52,1,1,21,2,1,1,1,58400,19
56,22,1,5,18,1,3,1,1,10600,37
56,29,1,5,17,2,6,2,1,0,14
56,70,1,1,21,2,6,1,1,6800,4
56,72,1,1,24,1,6,1,1,27600,4
56,26,1,1,21,2,1,1,1,36600,14
56,29,1,1,16,1,1,1,1,38000,18
56,1,1,5,NA,1,NA,1,1,NA,19
56,77,1,2,13,2,6,1,1,10470,6
56,37,3,3,21,2,1,1,1,60000,23
56,43,1,1,19,1,1,1,1,66000,25
56,39,1,1,21,2,1,1,1,50500,25
56,15,1,5,11,2,NA,1,1,0,27
56,10,1,5,7,2,NA,1,1,NA,26
56,5,1,5,1,1,NA,1,1,NA,38
56,50,1,3,18,2,6,1,1,8020,13
56,49,1,5,19,1,1,1,1,38670,5
56,25,1,1,21,1,1,1,1,40000,33
56,24,1,1,21,2,1,1,1,38500,18
56,28,1,1,20,2,1,1,1,5000,67
56,28,1,1,20,1,1,1,1,40000,59
56,7,1,5,4,1,NA,1,1,NA,58
56,4,1,5,1,2,NA,1,1,NA,48
56,4,1,5,1,2,NA,1,1,NA,48
