"","ST","age","citizen","marital","education","employment","race","sex","n","weighted_share_of_state","state"
"115",1,1,1,1,6,2,3,1,139,2.90957744981188e-05,"al"
"116",1,1,1,1,6,2,3,2,116,2.42813657682143e-05,"al"
"117",1,1,1,1,6,2,4,1,361,7.55652848476323e-05,"al"
"118",1,1,1,1,6,2,4,2,420,8.7915289850431e-05,"al"
"119",1,1,1,1,6,2,5,1,121,2.53279763616718e-05,"al"
"120",1,1,1,1,6,2,5,2,326,6.82390106934298e-05,"al"
"121",1,1,1,2,1,1,1,1,38413,0.00804069054529668,"al"
"122",1,1,1,2,1,1,1,2,26507,0.00554850140015565,"al"
"123",1,1,1,2,1,1,2,1,17269,0.00361478366768355,"al"
"124",1,1,1,2,1,1,2,2,20291,0.00424735511036927,"al"
"125",1,1,1,2,1,1,3,1,2155,0.000451089165780187,"al"
"126",1,1,1,2,1,1,3,2,1105,0.00023130094115411,"al"
"127",1,1,1,2,1,1,4,1,225,4.7097476705588e-05,"al"
"128",1,1,1,2,1,1,4,2,266,5.56796835719396e-05,"al"
"129",1,1,1,2,1,1,5,1,882,0.000184622108685905,"al"
"130",1,1,1,2,1,1,5,2,678,0.000141920396472839,"al"
"131",1,1,1,2,1,2,1,1,399231,0.0835678787673272,"al"
"132",1,1,1,2,1,2,1,2,408456,0.0854988753122563,"al"
"133",1,1,1,2,1,2,2,1,227795,0.0476825320273308,"al"
"134",1,1,1,2,1,2,2,2,229864,0.0481156194909035,"al"
"135",1,1,1,2,1,2,3,1,29504,0.00617583978987408,"al"
"136",1,1,1,2,1,2,3,2,31215,0.00653398993495524,"al"
"137",1,1,1,2,1,2,4,1,5259,0.00110082502219861,"al"
"138",1,1,1,2,1,2,4,2,6400,0.00133966155962561,"al"
"139",1,1,1,2,1,2,5,1,20346,0.00425886782689731,"al"
"140",1,1,1,2,1,2,5,2,16755,0.00350719209867612,"al"
"141",1,1,1,2,2,1,1,1,84711,0.0177318859964759,"al"
"142",1,1,1,2,2,1,1,2,66346,0.0138876852867064,"al"
"143",1,1,1,2,2,1,2,1,44069,0.00922461644861582,"al"
"144",1,1,1,2,2,1,2,2,52415,0.0109716188512151,"al"
"145",1,1,1,2,2,1,3,1,2387,0.000499651897316616,"al"
"146",1,1,1,2,2,1,3,2,2087,0.000436855261709165,"al"
"147",1,1,1,2,2,1,4,1,499,0.00010445173722706,"al"
"148",1,1,1,2,2,1,4,2,492,0.000102986482396219,"al"
"149",1,1,1,2,2,1,5,1,2209,0.000462392560189529,"al"
"150",1,1,1,2,2,1,5,2,1174,0.000245744167343824,"al"
"151",1,1,1,2,2,2,1,1,68141,0.0142634184897577,"al"
"152",1,1,1,2,2,2,1,2,108616,0.0227357312437962,"al"
"153",1,1,1,2,2,2,2,1,54119,0.0113283037414654,"al"
"154",1,1,1,2,2,2,2,2,57574,0.0120515116615446,"al"
"155",1,1,1,2,2,2,3,1,1167,0.000244278912512983,"al"
"156",1,1,1,2,2,2,3,2,2106,0.000440832381964304,"al"
"157",1,1,1,2,2,2,4,1,326,6.82390106934298e-05,"al"
"158",1,1,1,2,2,2,4,2,667,0.000139617853167232,"al"
"159",1,1,1,2,2,2,5,1,2633,0.000551145138514726,"al"
"160",1,1,1,2,2,2,5,2,2597,0.000543609542241832,"al"
"161",1,1,1,2,3,1,1,1,74436,0.0155811012269207,"al"
"162",1,1,1,2,3,1,1,2,81521,0.01706414843785,"al"
"163",1,1,1,2,3,1,2,1,33544,0.00702150114938775,"al"
"164",1,1,1,2,3,1,2,2,56517,0.0118302581820876,"al"
"165",1,1,1,2,3,1,3,1,2052,0.000429528987554963,"al"
"166",1,1,1,2,3,1,3,2,2009,0.000420528136451228,"al"
"167",1,1,1,2,3,1,4,1,710,0.000148618704270967,"al"
"168",1,1,1,2,3,1,4,2,576,0.000120569540366305,"al"
"169",1,1,1,2,3,1,5,1,2210,0.00046260188230822,"al"
"170",1,1,1,2,3,1,5,2,2573,0.000538585811393235,"al"
"171",1,1,1,2,3,2,1,1,51483,0.0107765306365946,"al"
"172",1,1,1,2,3,2,1,2,72815,0.0152417900725217,"al"
"173",1,1,1,2,3,2,2,1,29296,0.00613230078918625,"al"
"174",1,1,1,2,3,2,2,2,44351,0.00928364528608682,"al"
