"","ST","age","education","race","sex","n","weighted_share_of_state","state"
"338",2,2,5,4,2,611,0.00085918505383617,"ak"
"339",2,2,5,5,1,842,0.00118401606436998,"ak"
"340",2,2,5,5,2,1168,0.00164243558572937,"ak"
"341",2,2,6,1,1,1594,0.00224147459216834,"ak"
"342",2,2,6,1,2,3591,0.00504964570920734,"ak"
"343",2,2,6,2,1,153,0.000215147812171741,"ak"
"344",2,2,6,2,2,72,0.00010124602925729,"ak"
"345",2,2,6,3,1,63,8.85902756001288e-05,"ak"
"346",2,2,6,3,2,128,0.000179992940901849,"ak"
"347",2,2,6,4,1,133,0.000187023915155827,"ak"
"348",2,2,6,4,2,174,0.000244677904038451,"ak"
"349",2,2,6,5,1,190,0.000267177021651182,"ak"
"350",2,2,6,5,2,145,0.000203898253365376,"ak"
"351",2,3,1,1,1,2739,0.00385156769632941,"ak"
"352",2,3,1,1,2,1507,0.00211913564014911,"ak"
"353",2,3,1,2,1,92,0.000129369926273204,"ak"
"354",2,3,1,2,2,238,0.000334674374489376,"ak"
"355",2,3,1,3,1,787,0.00110667534757621,"ak"
"356",2,3,1,3,2,367,0.00051607351024202,"ak"
"357",2,3,1,4,1,499,0.000701691230547052,"ak"
"358",2,3,1,4,2,770,0.00108277003511269,"ak"
"359",2,3,1,5,1,1315,0.00184914622879634,"ak"
"360",2,3,1,5,2,1713,0.00240881177941303,"ak"
"361",2,3,2,1,1,14388,0.0202323315132485,"ak"
"362",2,3,2,1,2,8901,0.0125165403669325,"ak"
"363",2,3,2,2,1,811,0.00114042402399531,"ak"
"364",2,3,2,2,2,560,0.000787469116445589,"ak"
"365",2,3,2,3,1,970,0.00136400900527182,"ak"
"366",2,3,2,3,2,786,0.00110526915272542,"ak"
"367",2,3,2,4,1,1706,0.00239896841545746,"ak"
"368",2,3,2,4,2,1486,0.0020896055482824,"ak"
"369",2,3,2,5,1,6483,0.00911636121770849,"ak"
"370",2,3,2,5,2,5101,0.00717299993390884,"ak"
"371",2,3,3,1,1,14255,0.0200453075980926,"ak"
"372",2,3,3,1,2,13916,0.0195686075436729,"ak"
